time,stress,shearX,shearY,grip,angle,rawStress,rawShearX,rawShearY,rawGrip,rawAngle
02:24:19:25:20:392406,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:20:564195,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:20:679730,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:20:795299,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:20:914237,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:21:31075,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:21:146214,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:21:261510,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:21:378514,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:21:493904,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:21:608370,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:21:723156,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:21:839944,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:21:954730,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:22:70637,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:22:186517,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:22:302257,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:22:417227,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:22:533942,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:24:19:25:22:651994,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
